Source,Target,Type,Id,Label,timeset,Weight
531013568,631274226,Undirected,0,,,1
531013568,645684047,Undirected,1,,,1
531013568,657927805,Undirected,2,,,1
534275844,534300238,Undirected,3,,,1
540657595,572592023,Undirected,4,,,1
542798668,560236619,Undirected,5,,,1
542798668,604678719,Undirected,6,,,1
542798668,640611955,Undirected,7,,,1
542798668,641527218,Undirected,8,,,1
545577860,557874377,Undirected,9,,,1
545577860,635630398,Undirected,10,,,1
545577860,677940123,Undirected,11,,,1
545577860,678200621,Undirected,12,,,1
551799461,569925919,Undirected,13,,,1
557874377,635630398,Undirected,14,,,1
557874377,677940123,Undirected,15,,,1
559392060,574369900,Undirected,16,,,1
560236619,561396745,Undirected,17,,,1
560236619,604678719,Undirected,18,,,1
560236619,640611955,Undirected,19,,,1
560236619,641527218,Undirected,20,,,1
561396745,604678719,Undirected,21,,,1
561396745,626452503,Undirected,22,,,1
561396745,640611955,Undirected,23,,,1
561396745,641527218,Undirected,24,,,1
572592023,678200621,Undirected,25,,,1
577401938,611832495,Undirected,26,,,1
604678719,626452503,Undirected,27,,,1
604678719,640611955,Undirected,28,,,1
604678719,641527218,Undirected,29,,,1
604678719,651928572,Undirected,30,,,1
604678719,677924538,Undirected,31,,,1
613852547,654961381,Undirected,32,,,1
626452503,640611955,Undirected,33,,,1
626452503,641527218,Undirected,34,,,1
626452503,651928572,Undirected,35,,,1
631274226,645684047,Undirected,36,,,1
635630398,677940123,Undirected,37,,,1
640611955,641527218,Undirected,38,,,1
640611955,677924538,Undirected,39,,,1
641527218,651928572,Undirected,40,,,1
651928572,677924538,Undirected,41,,,1
530759938,692982019,Undirected,42,,,1
530759938,749008434,Undirected,43,,,1
531013568,690557225,Undirected,44,,,1
531013568,723837998,Undirected,45,,,1
531013568,831960052,Undirected,46,,,1
531013568,838323538,Undirected,47,,,1
534275844,681393563,Undirected,48,,,1
537347192,723270165,Undirected,49,,,1
540657595,746509775,Undirected,50,,,1
540657595,781933093,Undirected,51,,,1
540657595,819809833,Undirected,52,,,1
540657595,835944512,Undirected,53,,,1
542798668,692784215,Undirected,54,,,1
542798668,692953453,Undirected,55,,,1
542798668,747431762,Undirected,56,,,1
542798668,749709459,Undirected,57,,,1
542798668,758809043,Undirected,58,,,1
544552466,708985502,Undirected,59,,,1
545577860,683629415,Undirected,60,,,1
545577860,764940513,Undirected,61,,,1
545577860,797254744,Undirected,62,,,1
551074991,679564033,Undirected,63,,,1
551074991,681393563,Undirected,64,,,1
551074991,734912488,Undirected,65,,,1
551074991,747559001,Undirected,66,,,1
551074991,781933093,Undirected,67,,,1
551074991,1008679410,Undirected,68,,,1
